time	syntax_penn_tok2	syntax_penn_lem2	lexical_tok2	lexical_lem2	cosine_semanticL	partner_direction	condition_info
8	0.18353258709644943	0.39629696195060854	0.0	0.0	0.5570136418748844	A>B	phoneDialog675-phoneDialog954-condA
9	0.0	0.0	0.0	0.0	0.34247962812617117	B>A	phoneDialog675-phoneDialog954-condA
10	0.0	0.0	0.0	0.0	0.30299056470768937	A>B	phoneDialog675-phoneDialog954-condA
11	0.0816496580927726	0.07669649888473704	0.0	0.0	0.255446568337639	B>A	phoneDialog675-phoneDialog954-condA
12	0.0778498944161523	0.07312724241271307	0.0	0.0	0.4789208577323074	A>B	phoneDialog675-phoneDialog954-condA
13	0.30662207033593325	0.30662207033593325	0.0	0.0	0.5631177469772333	B>A	phoneDialog675-phoneDialog954-condA
14	0.1601281538050871	0.2135042050734495	0.0	0.0	0.254970301043854	A>B	phoneDialog675-phoneDialog954-condA
15	0.15161960871578067	0.36961063547728645	0.0	0.0	0.3301715271967238	B>A	phoneDialog675-phoneDialog954-condA
16	0.0	0.0	0.0	0.0	0.36246488113584796	A>B	phoneDialog675-phoneDialog954-condA
17	0.0	0.0	0.0	0.0	0.23543022104058398	B>A	phoneDialog675-phoneDialog954-condA
18	0.18820710496068585	0.24012941071683283	0.023186944788008416	0.022893427324781505	0.6927174897433087	A>B	phoneDialog675-phoneDialog954-condA
19	0.35488672049383807	0.4204500477795481	0.02008048322256247	0.03965257928590721	0.6791601144163975	B>A	phoneDialog675-phoneDialog954-condA
20	0.19307507426906928	0.3888078956798696	0.0	0.0	0.7412565568482561	A>B	phoneDialog675-phoneDialog954-condA
21	0.1005971431638196	0.33169403288196625	0.0	0.027420424855354085	0.39958928830441276	B>A	phoneDialog675-phoneDialog954-condA
22	0.08606629658238703	0.17471413945365305	0.0	0.0	0.34224412593089637	A>B	phoneDialog675-phoneDialog954-condA
0	0.30323921743156135	0.47140452079103173	0.07856742013183861	0.07856742013183861	0.42092176237748846	A>B	phoneDialog342-phoneDialog6-condA
1	0.3790490217894517	0.49746833816309105	0.0	0.0	0.38533149990903215	B>A	phoneDialog342-phoneDialog6-condA
2	0.4295888913613786	0.4308202184276646	0.03125	0.09375	0.47295079830504605	A>B	phoneDialog342-phoneDialog6-condA
3	0.2944840695329241	0.3105295017040594	0.0	0.04003203845127178	0.46894825289863973	B>A	phoneDialog342-phoneDialog6-condA
4	0.0	0.0	0.0	0.0	0.3293779846632403	A>B	phoneDialog342-phoneDialog6-condA
5	0.0	0.0	0.0	0.0	0.23190023407460358	B>A	phoneDialog342-phoneDialog6-condA
6	0.44915350844969165	0.5787870617951301	0.0	0.0	0.5404553126337138	A>B	phoneDialog342-phoneDialog6-condA
7	0.384311726123065	0.6770626198317443	0.06224251197758814	0.09429649164350061	0.7598087731220146	B>A	phoneDialog342-phoneDialog6-condA
8	0.26794158558913617	0.38043727971098684	0.027076518053694116	0.026860765467512676	0.7116342576437045	A>B	phoneDialog342-phoneDialog6-condA
9	0.0	0.0	0.0	0.0	0.1498708872632828	B>A	phoneDialog342-phoneDialog6-condA
10	0.0	0.0	0.0	0.0	0.08647127273942334	A>B	phoneDialog342-phoneDialog6-condA
11	0.0	0.0	0.0	0.0	0.2521104077316495	B>A	phoneDialog342-phoneDialog6-condA
12	0.11986582537134603	0.14777011582226218	0.0	0.0	0.6835657444579164	A>B	phoneDialog342-phoneDialog6-condA
0	0.25819888974716115	0.25819888974716115	0.0	0.0	0.22988081991923603	A>B	phoneDialog580-phoneDialog549-condA
1	0.0	0.23717082451262844	0.0	0.0	0.19166314686369734	B>A	phoneDialog580-phoneDialog549-condA
2	0.0	0.0	0.0	0.0	0.19246408364567547	A>B	phoneDialog580-phoneDialog549-condA
3	0.28284271247461895	0.28284271247461895	0.0	0.0	0.2645669690357322	B>A	phoneDialog580-phoneDialog549-condA
4	0.0	0.0	0.0	0.0	0.4649553968069775	A>B	phoneDialog580-phoneDialog549-condA
5	0.0	0.0	0.0	0.0	0.14310231167466836	B>A	phoneDialog580-phoneDialog549-condA
6	0.0	0.2672612419124244	0.0	0.0	0.12169520683251356	A>B	phoneDialog580-phoneDialog549-condA
7	0.29095718698132317	0.363696483726654	0.0	0.0	0.32128387394075497	B>A	phoneDialog580-phoneDialog549-condA
8	0.16666666666666666	0.0	0.0	0.0	0.4286822462936377	A>B	phoneDialog580-phoneDialog549-condA
9	0.0	0.0	0.0	0.0	0.3706863913739794	B>A	phoneDialog580-phoneDialog549-condA
10	0.0	0.0	0.0	0.0		A>B	phoneDialog580-phoneDialog549-condA
